MSA Code,State FIP,County FIP,Census Tract,SCCT,MFI,MHI,LMI%,Census Tract Income Indicator,Total persons,Total families,Total households,HMM%,Census Tract Minority Indicator,MSA Name,County
99999,39,1,770100,39001770100,66160,53554,62.03,Moderate,4742,1322,1850,5.65,Non-Minority,Non-MSA,Adams County
99999,39,1,770200,39001770200,66160,53554,93.83,Middle,4714,1249,1723,4.67,Non-Minority,Non-MSA,Adams County
99999,39,1,770301,39001770301,66160,53554,129.4,Upper,3988,1002,1229,4.16,Non-Minority,Non-MSA,Adams County
99999,39,1,770302,39001770302,66160,53554,117.2,Middle,3077,867,1071,4.39,Non-Minority,Non-MSA,Adams County
99999,39,1,770400,39001770400,66160,53554,66.3,Moderate,4685,1057,1866,4.16,Non-Minority,Non-MSA,Adams County
99999,39,1,770500,39001770500,66160,53554,73.05,Moderate,3038,962,1367,5.04,Non-Minority,Non-MSA,Adams County
99999,39,1,770600,39001770600,66160,53554,54.94,Moderate,3233,827,1290,4.79,Non-Minority,Non-MSA,Adams County
30620,39,3,10100,39003010100,64913,51892,122.37,Upper,4126,1051,1720,9.96,Non-Minority,"Lima, OH",Allen County
30620,39,3,10200,39003010200,64913,51892,119.35,Middle,3812,1133,1545,6.61,Non-Minority,"Lima, OH",Allen County
30620,39,3,10300,39003010300,64913,51892,119.05,Middle,1600,454,604,5.94,Non-Minority,"Lima, OH",Allen County
30620,39,3,10600,39003010600,64913,51892,109.24,Middle,5128,1311,1861,7.66,Non-Minority,"Lima, OH",Allen County
30620,39,3,10801,39003010801,64913,51892,121.38,Upper,4453,1289,1894,10.85,Non-Minority,"Lima, OH",Allen County
30620,39,3,10802,39003010802,64913,51892,122.91,Upper,3602,928,1363,14.69,Non-Minority,"Lima, OH",Allen County
30620,39,3,10900,39003010900,64913,51892,108.13,Middle,4545,920,1958,25.87,Non-Minority,"Lima, OH",Allen County
30620,39,3,11000,39003011000,64913,51892,76.19,Moderate,5437,1248,2535,33.2,Non-Minority,"Lima, OH",Allen County
30620,39,3,11200,39003011200,64913,51892,113.01,Middle,2843,419,598,29.79,Non-Minority,"Lima, OH",Allen County
30620,39,3,11301,39003011301,64913,51892,117.94,Middle,4538,991,2043,12.96,Non-Minority,"Lima, OH",Allen County
30620,39,3,11302,39003011302,64913,51892,150.7,Upper,2771,809,899,6.53,Non-Minority,"Lima, OH",Allen County
30620,39,3,11400,39003011400,64913,51892,119.67,Middle,3143,810,1065,4.65,Non-Minority,"Lima, OH",Allen County
30620,39,3,11500,39003011500,64913,51892,106.28,Middle,2757,840,970,6.13,Non-Minority,"Lima, OH",Allen County
30620,39,3,11600,39003011600,64913,51892,110.72,Middle,2579,644,1121,9.5,Non-Minority,"Lima, OH",Allen County
