EIN,NAME,Address,STREET,CITY,STATE,ZIP
10832520,FRIENDS OF THE ASA WRIGHT NATURE CENTRE INC,"1013 WESTCHESTER WAY CINCINNATI, OH 45244-5007",1013 WESTCHESTER WAY,CINCINNATI,OH,45244-5007
10873300,GREATER CLEVELAND SOCCER OFFICIALS ASSOCIATION,"1002 STONEY RUN TRL BROADVIEW HTS, OH 44147-2552",1002 STONEY RUN TRL,BROADVIEW HTS,OH,44147-2552
10917297,NAMI OF LAKE COUNTY,"1 VICTORIA PL STE 100 PAINESVILLE, OH 44077-3446",1 VICTORIA PL STE 100,PAINESVILLE,OH,44077-3446
10935379,AMERICAN LEGION AUXILIARY,"1 CANAL COURT NEWCOMERSTOWN, OH 43832-0000",1 CANAL COURT,NEWCOMERSTOWN,OH,43832-0000
10964749,AMVETS,"1 W MAIN ST HAYESVILLE, OH 44838-6510",1 W MAIN ST,HAYESVILLE,OH,44838-6510
20596263,FREDERICKTOWN FREE WILL BAPTIST CHURCH,"102 COLUMBUS RD FREDERICKTOWN, OH 43019-1217",102 COLUMBUS RD,FREDERICKTOWN,OH,43019-1217
20665070,THE INDIAN HILL WINTER CLUB INC,"10005 FLETCHER ROAD CINCINNATI, OH 45111-0000",10005 FLETCHER ROAD,CINCINNATI,OH,45111-0000
30317160,CHILD DIMENSIONS INSURANCE COMPANY,"1 PERKINS SQ AKRON, OH 44308-1063",1 PERKINS SQ,AKRON,OH,44308-1063
30389456,FREE & ACCEPTED MASONS OF OHIO,"10200 MEMPHIS AVE BROOKLYN, OH 44144-2037",10200 MEMPHIS AVE,BROOKLYN,OH,44144-2037
36100828,BILL AND JACKIE LOCKWOOD FAMILY FOUNDATION,"1 CARTER TALBOT CT DAYTON, OH 45419-2904",1 CARTER TALBOT CT,DAYTON,OH,45419-2904
43732828,RESIDENCE CONNECTION INC,"1015 KLOTZ ROAD BOWLING GREEN, OH 43402-4881",1015 KLOTZ ROAD,BOWLING GREEN,OH,43402-4881
43748316,GLASS CITY ACADEMY,"1000 MONROE ST TOLEDO, OH 43604-5953",1000 MONROE ST,TOLEDO,OH,43604-5953
43762083,SIGMA TAU GAMMA FRATERNITY,"1 UNIVERSITY PLZ YOUNGSTOWN, OH 44555-0001",1 UNIVERSITY PLZ,YOUNGSTOWN,OH,44555-0001
43849608,FLIER FOOTBALL FOUNDATION INC,"1015 RACE ST CLYDE, OH 43410-1832",1015 RACE ST,CLYDE,OH,43410-1832
50552679,GRACE CHAPEL,"09491 SANTA FE LINE RD WAPAKONETA, OH 45895-8863",09491 SANTA FE LINE RD,WAPAKONETA,OH,45895-8863
